,route_prediction,perf_prediction,diff_altitude,geo_distance,userid,workoutid,heart_rate_avg,speed_avg,elapsed_time
22039,0,2,-0.0325942635536,-0.0487705878913,791908,61133972,130.000000000000000000,10.745939319600000000,3263
22040,0,2,-0.148137643933,0.0700798109174,1520156,74737773,146.000000000000000000,11.545167403700000000,4876
22041,0,2,-0.115453243256,-0.0597707182169,1670340,108549248,145.000000000000000000,11.486478843400000000,2911
22042,0,0,-0.180933788419,-0.0860377475619,324779,169267938,0E-18,11.001215066800000000,3289
22043,0,2,-0.0502537339926,-0.125038817525,4009109,171041567,159.796000000000000000,12.495704667100000000,1818
22044,0,1,-0.180933788419,-0.149572998285,6539051,199910322,136.275000000000000000,8.184676935400000000,2496
22045,0,1,-0.180933788419,-0.0576682984829,1912029,210955955,159.000000000000000000,7.793368572800000000,4160
22046,0,2,-0.142082959414,-0.0346469543874,150436,213120365,175.000000000000000000,13.828295042300000000,2214
22047,0,1,-0.0608494132757,-0.192712515593,4146688,236784917,126.461000000000000000,9.987697793500000000,1322
22048,0,2,-0.0825453326106,0.048967693001,13653,244638813,172.000000000000000000,11.374205036900000000,3931
22049,0,2,-0.14611941576,-0.0291875265539,2358,249218746,144.179000000000000000,12.346432343400000000,2954
22050,0,1,-0.0790134370327,-0.143242776394,3820045,249719298,125.000000000000000000,9.517328770800000000,1997
22051,0,1,-0.095663793385,-0.162833690643,4693937,251879085,154.000000000000000000,7.865693430700000000,2058
22052,0,2,-0.0623630806804,0.059033934027,3709276,254863516,194.000000000000000000,11.703739916900000000,4092
22053,0,0,-0.082040771842,0.0895100310445,3411439,255214798,0E-18,10.666950990800000000,5543
22054,0,2,-0.136028289795,-0.176351562142,3275003,257199255,174.868000000000000000,16.395576001200000000,930
22055,0,2,-0.180933788419,-0.0112219154835,11992223,258231769,169.000000000000000000,13.765108240200000000,3447
22056,0,2,-0.180933788419,-0.00706901354715,11992223,264585216,169.000000000000000000,13.956026390600000000,3354
22057,0,2,-0.107773140073,-0.082860507071,68129,277364853,153.465000000000000000,11.297536588700000000,2632
22058,0,1,-0.124423496425,-0.0119994590059,7430612,278882218,139.323000000000000000,7.315498020300000000,7493
22059,0,2,-0.0984771996737,-0.0505910515785,848299,281178663,155.000000000000000000,11.471726994300000000,2828
22060,0,1,-0.169833555818,-0.182401135564,3987593,288474081,176.620000000000000000,9.492166072700000000,1899
22061,0,1,-0.153183206916,-0.274593859911,8785331,288962112,147.000000000000000000,6.784372104100000000,5100
22062,0,2,-0.123414382339,0.10049392283,7470676,309225128,147.000000000000000000,11.112452830200000000,5301
22063,0,2,-0.180933788419,0.023445893079,3085942,313386668,151.000000000000000000,12.076817081500000000,4888
22064,0,1,-0.0850681141019,-0.10185149312,775277,313759239,132.731000000000000000,8.522889791500000000,3226
22065,0,1,-0.162265211344,-0.0140102393925,10719156,315096612,141.000000000000000000,8.265137614700000000,4360
22066,0,1,-0.180933788419,-0.274593859911,8170078,316518706,116.000000000000000000,0E-18,3384
22067,0,0,-0.180933788419,-0.061004485935,8994885,316650284,0E-18,11.269722013500000000,3193
22068,0,2,-0.180933788419,-0.0370326563716,10927933,318028680,165.000000000000000000,10.464240903400000000,2692
22069,0,2,-0.112314149737,-0.122773788869,80101,319332813,158.887000000000000000,10.717084276100000000,2097
22070,0,2,-0.159237876534,-0.0659067779779,9157551,320234949,161.341000000000000000,11.446863320700000000,3324
22071,0,2,-0.107268586755,-0.0643120408058,12175120,322804457,172.278000000000000000,13.642220612800000000,2675
22072,0,2,-0.129973635077,-0.063052803278,3918301,323331366,153.716000000000000000,13.189794701700000000,2009
22073,0,2,-0.141073852777,0.0468898378313,334217,327571276,145.000000000000000000,11.195078076000000000,3586
22074,0,2,-0.10575491935,0.0589973889291,11330346,340008790,157.401000000000000000,12.966805291200000000,3633
22075,0,1,-0.180933788419,-0.0823770612478,1860957,341660746,192.000000000000000000,9.563081266500000000,2762
