index,workoutid,route_prediction,perf_prediction,userid,diff_altitude,geo_distance,heart_rate_avg,speed_avg,elapsed_time,user_avg_speed,user_avg_dist
736,327768223,1,2,2484395,-0.134181708097,-0.241395696998,152.047000000000000000,14.263018273500000000,2132,13.8081439706750000000000,-0.311122816056
737,462334670,1,2,2484395,-0.0710405483842,-0.378259420395,158.424000000000000000,13.264078645600000000,2950,13.8081439706750000000000,-0.311122816056
738,44342157,1,2,2484395,0.375404238701,-0.271736055613,156.669000000000000000,14.033071265500000000,3513,13.8081439706750000000000,-0.311122816056
739,618427143,1,0,2868369,-0.131953194737,-0.275577127934,150.000000000000000000,8.902979230900000000,3267,9.7668776266600000000000,-0.251287615299
740,489903841,1,0,2868369,-0.14235290885,-0.292388260365,151.939000000000000000,9.795680696000000000,2578,9.7668776266600000000000,-0.251287615299
741,74507074,1,0,2868369,-0.128272816539,-0.264454483986,142.029000000000000000,9.683094262300000000,3006,9.7668776266600000000000,-0.251287615299
742,75437098,1,0,2868369,-0.0729292482138,-0.165022850037,149.000000000000000000,10.458100558700000000,3077,9.7668776266600000000000,-0.251287615299
743,68701255,1,0,2868369,-0.133628293872,-0.258995354176,144.000000000000000000,9.994533385400000000,2585,9.7668776266600000000000,-0.251287615299
744,461084335,1,1,4419649,0.124325446784,-0.219067811966,0E-18,11.510993117100000000,3438,11.4966011638666666666667,-0.279744774103
745,294148417,1,0,4419649,-0.212179556489,-0.257666200399,158.000000000000000000,11.406735164300000000,3344,11.4966011638666666666667,-0.279744774103
